X,Y,CoastDistance,TourismExposure,BuildingExposure,RoadExposure,Elevation
437310,3072630,3.122306884765625,-0.6163818059401707,-0.8436951144974002,-1.4047599861105342,187.1610870361328
437340,3072630,3.1212978515625,-0.6163818059401707,-0.8436951144974002,-1.3639346615554735,187.93983459472656
437370,3072630,3.12057666015625,-0.6163818059401707,-0.8436951144974002,-1.3364667860535724,185.53594970703125
437400,3072630,3.120144287109375,-0.6163818059401707,-0.8436951144974002,-1.3221239859915084,182.42388916015625
437430,3072630,3.12,-0.6163818059401707,-0.8436951144974002,-1.3169931015543668,179.8426055908203
437460,3072630,3.12,-0.6163818059401707,-0.8436951144974002,-1.3157232560352894,176.7003173828125
437490,3072630,3.120144287109375,-0.6163818059401707,-0.8436951144974002,-1.3146119787369737,172.89605712890625
437520,3072630,3.12057666015625,-0.6163818059401707,-0.8436951144974002,-1.3130580855314675,168.40771484375
437550,3072630,3.1212978515625,-0.6163818059401707,-0.8436951144974002,-1.3148145685921198,162.6993865966797
437580,3072630,3.122306884765625,-0.6163818059401707,-0.8436951144974002,-1.3244755576687073,156.62796020507812
437610,3072630,3.123603759765625,-0.6163818059401707,-0.8436951144974002,-1.344308771098436,152.3295440673828
437640,3072630,3.12518798828125,-0.6163818059401707,-0.8436951144974002,-1.3722633566057971,148.74789428710938
437670,3072630,3.127059326171875,-0.6163818059401707,-0.8436951144974002,-1.4005293399660776,145.4538116455078
437700,3072630,3.129217041015625,-0.6163818059401707,-0.8436951144974002,-1.41931659214704,141.3822479248047
437730,3072630,3.131660888671875,-0.6163818059401707,-0.8436951144974002,-1.4210306938661776,137.13174438476562
437760,3072630,3.134389892578125,-0.6163818059401707,-0.8436951144974002,-1.400029594858649,132.99134826660156
437790,3072630,3.137403564453125,-0.6163818059401707,-0.8436951144974002,-1.3572431483759553,130.82777404785156
437820,3072630,3.140700439453125,-0.6163818059401707,-0.8436951144974002,-1.296991037964473,131.6873016357422
437850,3072630,3.144280517578125,-0.6163818059401707,-0.8436951144974002,-1.2265487160179978,134.21441650390625
437880,3072630,3.148142333984375,-0.6163818059401707,-0.8436951144974002,-1.154369871357775,138.94830322265625
437910,3072630,3.152284912109375,-0.6163818059401707,-0.8436951144974002,-1.0899055064833765,145.92855834960938
437940,3072630,3.15670703125,-0.6163818059401707,-0.8436951144974002,-1.0404898954638069,153.3782958984375
437970,3072630,3.161407958984375,-0.6163818059401707,-0.8436951144974002,-1.0138884736171623,161.03688049316406
438000,3072630,3.166385986328125,-0.6163818059401707,-0.8436951144974002,-1.0141755789261324,169.79298400878906
438030,3072630,3.171639892578125,-0.6163818059401707,-0.8436951144974002,-1.0374439736402585,177.6896209716797
438060,3072630,3.17716845703125,-0.6163818059401707,-0.8436951144974002,-1.0751723116218233,185.1883087158203
438090,3072630,3.179716796875,-0.6163818059401707,-0.8436951144974002,-1.1159734811555586,190.91868591308594
438120,3072630,3.17277490234375,-0.6163818059401707,-0.8436951144974002,-1.145243667106095,193.935302734375
438150,3072630,3.1661015625,-0.6163818059401707,-0.8436951144974002,-1.1523171944865906,194.7523193359375
438180,3072630,3.15969921875,-0.6163818059401707,-0.8436951144974002,-1.1318132544867745,193.53965759277344
438210,3072630,3.1535693359375,-0.6163818059401707,-0.8436951144974002,-1.0859689699015962,191.49777221679688
438240,3072630,3.14771337890625,-0.6163818059401707,-0.8436951144974002,-1.0230535048742915,188.99977111816406
438270,3072630,3.142133056640625,-0.6163818059401707,-0.8436951144974002,-0.9551619286880878,187.09649658203125
438300,3072630,3.13682958984375,-0.6163818059401707,-0.8436951144974002,-0.8956747923060735,185.4102783203125
438330,3072630,3.1318046875,-0.6163818059401707,-0.8436951144974002,-0.8559144330139036,182.53993225097656
438360,3072630,3.127059326171875,-0.6163818059401707,-0.8436951144974002,-0.8421920508583017,180.34735107421875
438390,3072630,3.122594970703125,-0.6163818059401707,-0.8436951144974002,-0.8563361682971796,179.4439239501953
438420,3072630,3.1184130859375,-0.6163818059401707,-0.8436951144974002,-0.8927099667959701,179.05494689941406
438450,3072630,3.114514404296875,-0.6163818059401707,-0.8436951144974002,-0.9438979692465619,179.2288360595703
438480,3072630,3.110900146484375,-0.6163818059401707,-0.8436951144974002,-1.0006865689310454,180.72964477539062
438510,3072630,3.107571533203125,-0.6163818059401707,-0.8436951144974002,-1.0565837086268777,181.51060485839844
438540,3072630,3.104529052734375,-0.6163818059401707,-0.8436951144974002,-1.1066762200739375,179.7662353515625
438570,3072630,3.101773681640625,-0.6163818059401707,-0.8436951144974002,-1.1508739732244135,177.0381622314453
438600,3072630,3.099306396484375,-0.6163818059401707,-0.843048837915426,-1.188933014264387,173.8141326904297
438630,3072630,3.097127685546875,-0.6163818059401707,-0.84208282359068,-1.220466564649823,171.05958557128906
438660,3072630,3.09523828125,-0.6163818059401707,-0.8406456024677597,-1.2451085126314965,168.13638305664062
438690,3072630,3.093638427734375,-0.6163818059401707,-0.8386971874125407,-1.2592468309117852,165.43740844726562
438720,3072630,3.092329345703125,-0.6163818059401707,-0.8358445591577865,-1.2593750980184928,163.72637939453125
438750,3072630,3.091310302734375,-0.6163818059401707,-0.8324721752736797,-1.2441323346720088,163.07369995117188
438780,3072630,3.09058251953125,-0.6163818059401707,-0.8279986052836584,-1.213629198023835,162.08273315429688
438810,3072630,3.0901455078125,-0.6163818059401707,-0.82221692908507,-1.1717451530533984,159.6857452392578
438840,3072630,3.09,-0.6163818059401707,-0.814941148238795,-1.1256681453806727,155.73374938964844
438870,3072630,3.09,-0.6163818059401707,-0.8060324529401721,-1.0848873380189692,151.79788208007812
438900,3072630,3.09,-0.6163818059401707,-0.7954287593744073,-1.060565151247732,148.0748291015625
438930,3072630,3.09,-0.6163818059401707,-0.7831742473501544,-1.0578989353591468,143.57460021972656
438960,3072630,3.0901455078125,-0.6163818059401707,-0.7694445931072218,-1.0776254870794568,138.68785095214844
438990,3072630,3.09058251953125,-0.6163818059401707,-0.7545630746739475,-1.111917790693453,135.1561279296875
439020,3072630,3.091310302734375,-0.6163818059401707,-0.7390029863418082,-1.1451010585561956,132.44247436523438
439050,3072630,3.092329345703125,-0.6163818059401707,-0.7233729811170179,-1.1640981787145568,130.560791015625
439080,3072630,3.093638427734375,-0.6163818059401707,-0.7083840322941072,-1.1566723477989207,131.89964294433594
439110,3072630,3.09523828125,-0.6163818059401707,-0.6947994219434555,-1.1211162561987496,137.2052001953125
439140,3072630,3.097127685546875,-0.6163818059401707,-0.6833720850762534,-1.063043658605261,142.32608032226562
439170,3072630,3.099306396484375,-0.6163818059401707,-0.6747762034398125,-0.9957864301967208,144.5762939453125
439200,3072630,3.101773681640625,-0.6163818059401707,-0.6695415910732541,-0.9303798839002864,144.64756774902344
439230,3072630,3.104529052734375,-0.6163818059401707,-0.667999718748811,-0.8831463927400138,143.31219482421875
439260,3072630,3.107571533203125,-0.6163818059401707,-0.6702490120266339,-0.8599319569957771,140.83953857421875
439290,3072630,3.110900146484375,-0.6163818059401707,-0.6761444682601322,-0.8623299376366363,136.39425659179688
439320,3072630,3.114514404296875,-0.6163818059401707,-0.6846741386578318,-0.8838537229579998,131.46548461914062
439350,3072630,3.1184130859375,-0.6163818059401707,-0.6962200809260831,-0.9197500292115351,128.83245849609375
439380,3072630,3.122594970703125,-0.6163818059401707,-0.7096420146848349,-0.9594752027178435,130.0431365966797
439410,3072630,3.127059326171875,-0.6163818059401707,-0.724111267987921,-0.9933389436518553,131.90455627441406
439440,3072630,3.1318046875,-0.6163818059401707,-0.738863666427302,-1.0151566585678826,135.06051635742188
439470,3072630,3.13682958984375,-0.6163818059401707,-0.7530863625134803,-1.0244991011908557,137.66622924804688
439500,3072630,3.142133056640625,-0.6163818059401707,-0.7662228062514193,-1.0255754721413373,139.39723205566406
439530,3072630,3.14771337890625,-0.6163818059401707,-0.7777014860956167,-1.026069226042758,139.52105712890625
439560,3072630,3.1535693359375,-0.6163818059401707,-0.7872758763690404,-1.037198180173726,138.37095642089844
439590,3072630,3.15969921875,-0.6163818059401707,-0.7947208624153418,-1.0639911625011174,136.91265869140625
439620,3072630,3.1661015625,-0.6163818059401707,-0.7999205823813624,-1.1090180036416781,134.97268676757812
439650,3072630,3.17277490234375,-0.6163818059401707,-0.8026218693233014,-1.168327941013804,133.01231384277344
439680,3072630,3.179716796875,-0.6163818059401707,-0.8031705276822074,-1.2307869848660207,131.94537353515625
439710,3072630,3.186926513671875,-0.6163818059401707,-0.801207757064359,-1.2860246675673501,131.83169555664062
439740,3072630,3.1944013671875,-0.6163818059401707,-0.7972377205897937,-1.3227224682663241,131.8238983154297
439770,3072630,3.202139892578125,-0.6163818059401707,-0.791923362832013,-1.3363703255568358,131.669677734375
439800,3072630,3.21014013671875,-0.6163818059401707,-0.7849999574540817,-1.3266756187316777,130.7744598388672
439830,3072630,3.218400146484375,-0.6163818059401707,-0.7760428746668322,-1.3006313430603471,129.62588500976562
439860,3072630,3.22691796875,-0.6163818059401707,-0.7648201908685998,-1.2633602548621377,128.34912109375
439890,3072630,3.23569140625,-0.6163818059401707,-0.7513951426410728,-1.2249892933736632,126.59874725341797
439920,3072630,3.24471875,-0.6163745190597821,-0.7349828074239,-1.1924419110358484,124.97681427001953
439950,3072630,3.25399755859375,-0.6163705056825448,-0.7164227310993082,-1.168060698539828,124.55918884277344
439980,3072630,3.263525634765625,-0.6163646717563105,-0.6950823585486784,-1.1461203747080115,125.2918701171875
440010,3072630,3.27330126953125,-0.6163564040008022,-0.6709505503958271,-1.1225260614022823,126.25283813476562
440040,3072630,3.2833212890625,-0.616344984675441,-0.6441858688069287,-1.0922248225094584,126.44198608398438
440070,3072630,3.293584716796875,-0.616329619352317,-0.6151699494542455,-1.0495618553456518,125.10748291015625
440100,3072630,3.30408837890625,-0.6163094877620245,-0.5845736030369522,-0.9913821483775378,123.48479461669922
440130,3072630,3.314830322265625,-0.6162838198507211,-0.5533364672443014,-0.9201890947322655,123.01069641113281
440160,3072630,3.325808349609375,-0.6162519954623004,-0.5226399807319941,-0.8399581371536479,122.42738342285156
440190,3072630,3.33701953125,-0.6162136611382766,-0.4938108497719503,-0.756387346488571,116.87373352050781
440220,3072630,3.34846240234375,-0.6161688520798133,-0.46824741578064877,-0.6749173049494603,106.72783660888672
440250,3072630,3.3601337890625,-0.6161181023984332,-0.4472991333774989,-0.5997075782715043,95.2884292602539
440280,3072630,3.372031982421875,-0.6160625236849403,-0.4321490457711268,-0.536314188331385,80.73656463623047
440310,3072630,3.384154296875,-0.6160038318970747,-0.4237065769978994,-0.4901750803729801,70.4923095703125
440340,3072630,3.396498291015625,-0.6159443064571178,-0.4225237972134832,-0.4694722429296718,65.12400817871094
440370,3072630,3.4090615234375,-0.6158866733804151,-0.42874527540682833,-0.4821832480374407,61.764774322509766
