X,Y,NDVI,NDBI,NDWI,Albedo,TS,Month
437310,3072630,0.1675553129854318,-0.06080256332010986,-0.0725,10537.500196850393,37.64054953409226,november
437340,3072630,0.11501798561151079,-0.0072708071002071575,-0.07232504761439663,9928.269881889764,38.02472709767068,november
437370,3072630,0.11770567084001213,0.0019342359767891683,-0.09320829781187838,10206.61338582677,38.34035734713723,november
437400,3072630,0.06601923615650387,0.06264882174234337,-0.12272083136513935,9698.537598425195,38.64396228646922,november
437430,3072630,0.05011731581417175,0.07333637003602633,-0.1128212303530619,9626.393897637794,38.86283023044575,november
437460,3072630,0.06247601177022474,0.045586883236285625,-0.10674132533838895,10324.722637795277,38.975318287266305,november
437490,3072630,0.06553770804798074,0.04653667595171773,-0.11527315195293913,10563.086811023624,38.91926724116098,november
437520,3072630,0.07626322454148114,0.0590336059426449,-0.13268280319351158,10774.840748031496,38.411421785475,november
437550,3072630,0.07997548644093765,0.05115089514066496,-0.13176661264181525,11367.256102362204,37.63971350056664,november
437580,3072630,0.07029282682207354,0.038272562710111195,-0.11659244917715392,11888.082874015749,37.00055269788294,november
437610,3072630,0.07026665676298002,0.04787392209336901,-0.12207689258818867,11577.80531496063,36.58607517850868,november
437640,3072630,0.0943817331215932,0.007782706825433886,-0.08066520118512854,10212.08877952756,36.21056253417714,november
437670,3072630,0.09472571812854261,0.040824915824915826,-0.08738747850713058,9439.926377952756,35.82858772159801,november
437700,3072630,0.081728163948963,0.04687906936366004,-0.08802131365918639,9213.716732283463,35.480755283198505,november
437730,3072630,0.07425316999785085,0.025538551515742275,-0.052246368652178805,8539.448031496064,35.189093471743945,november
437760,3072630,0.06737626397019691,0.039141474632300104,-0.05340233428760185,8617.623228346456,34.96174369532713,november
437790,3072630,0.1180003875217981,0.019624500892022768,-0.07902672351045024,9386.65374015748,34.67018725684687,november
437820,3072630,0.15985265359952702,-0.0276412281408655,-0.056164526568535336,9843.016929133859,34.44187061105282,november
437850,3072630,0.2398517624752219,-0.0725015842248481,-0.048594181699983745,10312.737401574803,34.27915439447685,november
437880,3072630,0.3571281204868991,-0.17146317139193618,-0.022022790340674264,10755.429330708661,34.11756989774699,november
437910,3072630,0.3700480689540859,-0.1705849029882453,-0.02169249106078665,10744.91653543307,34.33699619450516,november
437940,3072630,0.3460262153641945,-0.1508724641793162,-0.028758475566986207,10723.682283464568,34.710053550839234,november
437970,3072630,0.31858186648953835,-0.1278718795497319,-0.04340927122294004,10657.561220472442,35.04154890146043,november
438000,3072630,0.3293526354224838,-0.11952825410607047,-0.04375469626033177,10493.427362204722,35.214246984211684,november
438030,3072630,0.2918021415875493,-0.09923269883429246,-0.039232385170044855,10321.817125984251,35.557223531460295,november
438060,3072630,0.25844733094549693,-0.08477476472119927,-0.0512373269377521,10354.335826771652,35.971863759507016,november
438090,3072630,0.1371689177337309,0.0026921006076455656,-0.07262680086836393,10154.887992125983,36.688391443827584,november
438120,3072630,0.08612582080067782,0.011566042100393246,-0.06829336698920208,10304.179330708663,37.22322324684052,november
438150,3072630,0.056666666666666664,0.044830815586953864,-0.07438719123411892,9879.05531496063,37.64935675962914,november
438180,3072630,0.05661422045863517,0.017715437738600782,-0.05758598757277753,9614.600590551181,37.94614302974742,november
438210,3072630,0.07543154410026011,0.011691077404493894,-0.057499239428049895,9416.797440944882,37.99517786380187,november
438240,3072630,0.06366035464604843,0.031123481781376517,-0.08418158135944812,9585.486417322834,37.8695839547554,november
438270,3072630,0.05586107091172214,0.04239401496259352,-0.07357357357357357,9285.241338582679,37.71528262533752,november
