X,Y,NDVI,NDBI,NDWI,Albedo,TS,Month
437310,3072630,0.173741755566376,-0.1043731778425656,-0.025889445072393564,9834.682283464568,35.943140622057854,january
437340,3072630,0.1742431432096422,-0.0867808519982433,-0.04573424247463828,9377.796456692911,36.02014984598247,january
437370,3072630,0.1786931818181818,-0.06992736493746508,-0.05224421522163368,9380.360433070866,36.36476111899361,january
437400,3072630,0.13266045298691265,-0.03645764284767334,-0.06911006018916595,9202.975590551181,36.83239440814049,january
437430,3072630,0.13774562518330238,-0.046206400575332617,-0.06537743105153279,9119.730511811023,37.02023790558542,january
437460,3072630,0.14417965169569202,-0.0539958627095031,-0.0606762877910039,9579.269881889764,37.092252157523546,january
437490,3072630,0.14419184054811585,-0.04489497420062569,-0.07681358344771491,9842.103543307087,37.064706106637345,january
437520,3072630,0.12490235222636924,-0.0117096018735363,-0.09359748731577676,10044.531692913386,36.90254397640484,january
437550,3072630,0.11576517150395778,0.0034612268944694013,-0.10383510419991791,10523.370275590549,36.31399727267768,january
437580,3072630,0.1026583600975119,-0.0012649332396345748,-0.09423201555411535,11019.938188976379,35.55894835104334,january
437610,3072630,0.1113926054944185,-0.011128317787301473,-0.09494296236414264,10807.753149606298,34.96458162066716,january
437640,3072630,0.15806647088985223,-0.057776642397922254,-0.051485255269825864,9484.177362204724,34.588047681445175,january
437670,3072630,0.18506884456311187,-0.08089007735650845,-0.02151937984496124,8610.310236220472,34.331177639516454,january
437700,3072630,0.1566116857701985,-0.031463475442533036,-0.03748518680222042,8212.625196850395,34.22850733045806,january
437730,3072630,0.12219392288100456,-0.03847840385880289,-0.011323196376577159,7791.252165354331,34.12778622790984,january
437760,3072630,0.10675931775110549,-0.017905244810648074,-0.01860981020458467,8011.575,34.23734079377226,january
437790,3072630,0.16555544158375218,-0.04790888550744686,-0.034130893736805064,8829.1812992126,34.329390040577664,january
437820,3072630,0.15019722868413068,-0.029885890237275857,-0.05245365936109077,8932.05531496063,34.58163960435735,january
437850,3072630,0.20162593662765071,-0.058544372060917206,-0.045662364720180565,9154.641929133859,34.70926714434091,january
437880,3072630,0.31103871215024914,-0.14902372454335502,-0.010030864197530864,9393.266929133857,34.61560991169864,january
437910,3072630,0.2857357583045243,-0.11826738713613387,-0.00923036921476859,9061.399803149607,34.897310571412675,january
437940,3072630,0.2734759465702521,-0.11920208305750474,-0.00983946141895391,9011.711811023622,35.12235696452598,january
437970,3072630,0.2998593120846068,-0.1446514012303486,-0.008598952608779983,9266.525787401573,35.22129918696987,january
438000,3072630,0.26422849915682967,-0.11883219848894692,3.326901324106727e-4,8681.564173228346,35.46334125156591,january
438030,3072630,0.20952773767787172,-0.07738231917336395,-0.01690925983276556,8755.534645669291,35.695288985625325,january
438060,3072630,0.1929273482622353,-0.0633128612716763,-0.025613275613275612,8873.802362204724,35.734066189897135,january
438090,3072630,0.15081873024992817,-0.04914884329986905,-0.03726742571507914,9252.4687007874,35.83169541136397,january
438120,3072630,0.12499450041796824,-0.060291922375186595,-0.03702562522467005,9763.076968503938,35.88313908010821,january
438150,3072630,0.14733662559332597,-0.08486716837428597,-0.014790702986694078,9167.307283464566,35.86924522533502,january
438180,3072630,0.13086322428064642,-0.07282415630550622,-0.022901630959822696,9023.118307086614,35.91232573876533,january
438210,3072630,0.14277111456817385,-0.07425228795169356,-0.021402470854358795,8874.820078740157,35.90637568154489,january
438240,3072630,0.15576109416510872,-0.09596454397014229,-0.017583195657304696,8892.142913385827,35.89195046090509,january
438270,3072630,0.14197689345314507,-0.0862026862026862,-0.012290637426195928,8590.539566929134,35.91051127315728,january
438300,3072630,0.14449589560092613,-0.0642462200910114,-0.021289464134510706,8520.098622047244,35.880134958777376,january
438330,3072630,0.14570397111913358,-0.04933209892871313,-0.04241956809167034,9200.696062992125,35.84482669172576,january
438360,3072630,0.15190471689195575,-0.07115545202830396,-0.038870413781824126,9339.944094488188,35.80668331932537,january
438390,3072630,0.1426453555709984,-0.0703931950351532,-0.025814920148763947,9549.493307086614,35.82580781461212,january
438420,3072630,0.09782992237120677,0.025144916183612722,-0.074700393159964,9951.087795275589,35.90630713753757,january
438450,3072630,0.11065922633122104,-0.027249267375235097,-0.042155309033280505,9304.05531496063,35.83106659060468,january
438480,3072630,0.10583742498636116,-0.058577770040908694,-0.009095716552088842,9560.836811023622,35.67759808490422,january
438510,3072630,0.12971270401832585,-0.06252524799138202,-0.013622152746761948,9222.562204724409,35.41601589785779,january
438540,3072630,0.15761616367245151,-0.08619454658325773,-0.014522446520036156,8728.766929133859,35.181786756202484,january
438570,3072630,0.1524181264280274,-0.09344654712975926,-0.01944669521935409,9145.828937007873,35.08105781589239,january
438600,3072630,0.16488850222079765,-0.12735974474873704,-0.002563505010487066,9344.794488188976,34.973002434317436,january
438630,3072630,0.16576525287029129,-0.12236788014433837,0.006046093983837175,9099.585826771654,34.92277497618227,january
438660,3072630,0.16607502638395855,-0.1205457981837459,0.005781739339918092,9024.637007874016,34.89666398429716,january
438690,3072630,0.16468012648990513,-0.11018363939899833,0.002293024378469708,8957.735433070866,34.91752727811365,january
438720,3072630,0.1669277808662253,-0.12147263101656224,0.01362808515983169,8656.091732283463,34.96597413408051,january
438750,3072630,0.17630042874115398,-0.13542082169924213,0.019752606696457484,8513.707874015749,35.00845681606859,january
438780,3072630,0.1618147640095514,-0.11204045905465862,0.009391435011269721,8642.503149606298,35.132125874463554,january
438810,3072630,0.14912588288333417,-0.09186101856258924,-0.0023535091424778227,8742.0877952755909,35.28340026132577,january
