X,Y,NDVI,NDBI,NDWI,Albedo,TS,Month
437310,3072630,0.1709480323237632,-0.048288436654511234,-0.07446357717939828,13265.162598425195,37.873796129384004,july
437340,3072630,0.16512622430680093,-0.019678860316310515,-0.09483531475345937,12793.407677165353,37.987843167095036,july
437370,3072630,0.11567742370140807,0.02654086941186844,-0.10723043769042134,13040.644881889762,38.682219892764635,july
437400,3072630,0.0732392337606222,0.08475096726647424,-0.14632985539081092,12450.981496062992,39.38971857317836,july
437430,3072630,0.08002661716807341,0.06497680482702162,-0.1281321807637597,12621.824015748032,39.61319999512108,july
437460,3072630,0.0850947814093723,0.04047423206739087,-0.11482573261661176,13510.012992125983,39.57027367401639,july
437490,3072630,0.08425278998450887,0.0563244641333957,-0.1309259632842445,13760.73248031496,39.40393880187776,july
437520,3072630,0.08988491823137493,0.05778243225553083,-0.13989366906944128,14206.117322834643,39.14814981729069,july
437550,3072630,0.09158931082981715,0.050408652669700973,-0.13424556213017752,15119.672440944882,38.65665292417208,july
437580,3072630,0.08741708232632282,0.04019062748212868,-0.1337674632089274,16333.073031496067,38.073532619426885,july
437610,3072630,0.09126324537710367,0.04839768995583739,-0.1436124360668927,16168.303346456694,37.76003459047581,july
437640,3072630,0.1181383184236336,0.03255502982925324,-0.12515665752125463,14511.494291338582,37.77493102399069,july
437670,3072630,0.11900755551156422,0.05689338746454591,-0.13017000761228115,13260.86929133858,37.806123598946954,july
437700,3072630,0.11834600760456274,0.06481192334989354,-0.13474657082080246,13032.279724409449,37.645003152965444,july
437730,3072630,0.10323260972328278,0.04881336802834122,-0.10831155661297243,12212.98248031496,37.36044796333715,july
437760,3072630,0.12248334431510359,0.019316873480875015,-0.08390781154395269,12088.173425196852,36.93647321943325,july
437790,3072630,0.19135012092758572,-0.012391948256059965,-0.09625889753352095,12518.716732283463,36.32792026808431,july
437820,3072630,0.189937106918239,-0.020905278737049827,-0.07316032098343862,12348.712795275589,35.823715043295124,july
437850,3072630,0.2708054589242708,-0.05621351125938282,-0.07110916264796142,13166.59468503937,35.13600545470655,july
437880,3072630,0.34923786345587293,-0.10550205966468135,-0.07126645483431684,13762.952952755906,34.59380418520874,july
437910,3072630,0.3520617709873501,-0.10076772864671107,-0.07249310027598896,13492.788582677167,34.360411522097195,july
437940,3072630,0.34246396660796974,-0.10039559499625789,-0.0678112367715856,13590.173425196852,34.316484877442576,july
437970,3072630,0.3250783798334231,-0.11459776238678743,-0.05741000045169158,13740.155708661418,34.42110131116391,july
438000,3072630,0.30792092894664086,-0.08153059183265224,-0.06499931290366909,12883.38996062992,34.65828327107232,july
438030,3072630,0.27417199915617746,-0.05862763999649461,-0.06926504343129754,12756.398818897638,35.0754186889838,july
438060,3072630,0.1863053386566795,-0.003077106921996833,-0.08540379111535111,12580.935236220472,35.74412497216622,july
438090,3072630,0.10083446923102497,0.044800230780325974,-0.1022498628132431,13156.246259842519,36.47022779724273,july
438120,3072630,0.07395619977942335,0.033765202846369746,-0.0819753086419753,13571.918503937006,37.15047864817183,july
438150,3072630,0.06840850320717332,0.04597115182775062,-0.08868081414265573,12935.613385826771,37.73422633634385,july
438180,3072630,0.07672870070001707,0.011690957530167686,-0.05430874616811111,12752.246259842519,38.27505028225306,july
438210,3072630,0.14928855443462258,-0.007112621303308665,-0.0956939595299771,13315.80433070866,38.625621905784726,july
438240,3072630,0.09223832528180355,0.03743649419578236,-0.11085956844711709,13377.578937007871,38.97490300704294,july
438270,3072630,0.07763206939785165,0.060363421480277735,-0.10821220930232558,12908.418503937008,39.05171464833296,july
438300,3072630,0.10131551759763069,0.059494750463194426,-0.11771234092926901,12891.768897637794,38.94117445074875,july
438330,3072630,0.07593569295291351,0.04737256667041746,-0.10886904356125161,13580.964763779528,38.81639125439136,july
438360,3072630,0.09249644498826019,0.024104927330733782,-0.07224585594836438,13180.833858267715,38.6084724918523,july
438390,3072630,0.0892712424412443,0.04675395526459356,-0.10050506762482628,13953.062204724409,38.41659324074669,july
438420,3072630,0.07265992703372602,0.009846011465590375,-0.08622007131940906,14817.828937007875,38.30700338391341,july
438450,3072630,0.08684331444325318,0.0179634088959008,-0.09464254952627045,13960.366338582677,38.31777869458148,july
